flow_duration,protocol,TotPackets,TotBytes,tot_fwd_pkts,totlen_fwd_pkts,fwd_iat_mean,fwd_pkt_len_max,fwd_pkt_len_mean,tot_bwd_pkts,totlen_bwd_pkts,bwd_iat_mean,bwd_pkt_len_max,bwd_pkt_len_mean
0.421,17,2,136,1,32,0,32,60,1,48,0,48,76
188.426,6,26,1638,10,46,17616,46,676,16,46,12560,46,962
33.789,6,32,5341,15,154,2413,721,1857,17,324,2098,1368,3484
694.259,1,4,224,4,28,231419,28,224,0,0,0,0,0
371.119,6,25,1651,17,177,23194,177,1117,8,110,9226,110,534
1.872,17,15,5424,15,333,133,361,5424,0,0,0,0,0
1770.324,6,99,9240,66,65,27235,65,5577,33,59,55319,59,3663
0.558,6,21,7217,12,318,50,599,1905,9,967,68,1471,5312
116.523,6,45,10434,22,723,549,1360,4588,23,327,5288,2720,5846
1773.611,6,181,15589,120,69,14904,69,8940,61,69,29552,69,6649
57.89,6,9,1432,9,134,7236,134,1432,0,0,0,0,0
126.162,2,2,64,2,8,126162,8,64,0,0,0,0,0
0.781,6,10,1687,7,100,130,100,384,3,1179,263,1179,1303
61.239,6,10,412,7,0,10206,0,284,3,0,30568,0,128
0.145,17,2,304,1,60,0,60,88,1,188,0,188,216
1.12,17,2,122,2,33,1120,33,122,0,0,0,0,0
3.783,6,30,12339,17,653,236,1360,4645,13,795,301,2720,7694
0.46,6,13,1693,6,288,87,288,548,7,426,43,434,1145
1.146,6,32,6300,16,138,76,267,1755,16,650,67,1452,4545
0.055,17,4,284,2,32,44,32,120,2,54,43,60,164
0.207,6,21,5000,11,137,20,267,1132,10,692,22,2800,3868
0.255,6,27,6202,13,181,21,537,1578,14,555,18,1542,4624
300.795,6,72,53631,45,1246,6836,1368,47214,27,715,1444,2736,6417
329.698,6,31,7338,20,118,17352,267,1873,11,836,20,3436,5465
0.161,17,4,368,2,32,129,32,120,2,96,130,96,248
79.372,6,29,7682,8,162,621,267,1303,21,395,3968,1420,6379
15.464,17,15,7594,7,560,2572,1350,4121,8,406,2207,1350,3473
1777.899,17,73,3060,72,14,25040,14,3024,1,8,0,8,36
0.473,6,48,21608,27,1027,18,1380,16535,21,467,21,1923,5073
1.411,6,23,6975,10,141,156,275,686,13,720,93,1380,6289
1789.053,6,365,25570,211,100,8519,469,14856,154,69,11690,69,10714
1724.449,17,12,498,11,14,172444,14,462,1,8,0,8,36
6.828,6,7,573,3,177,3414,177,341,4,0,2029,0,232
0.054,17,2,312,1,64,0,64,92,1,192,0,192,220
1786.698,6,102,8296,68,65,26667,65,4930,34,59,54139,59,3366
623.61,1,16,896,16,28,41574,28,896,0,0,0,0,0
1740.763,17,27,28512,27,1028,66952,1028,28512,0,0,0,0,0
0.156,6,8,799,4,69,37,69,229,4,205,16,341,570
717.983,6,31,2449,16,65,25239,65,1160,15,45,51278,59,1289
0.89,6,32,12174,17,525,55,1360,3362,15,820,51,1379,8812
124.599,6,30,7432,13,158,10383,267,1317,17,543,7785,1400,6115
1669.053,1,18,1008,18,28,98179,28,1008,0,0,0,0,0
2.514,6,28,8865,17,281,157,577,1529,11,984,229,1452,7336
925.435,17,74,5920,37,48,25706,48,2812,37,56,25706,56,3108
0.42,6,10,1992,5,288,98,288,508,5,424,59,434,1484
0.054,17,4,352,2,37,47,37,130,2,83,46,89,222
0.405,17,2,152,1,48,0,48,76,1,48,0,48,76
11.275,6,2380,2214150,1519,1380,7,1408,2164714,861,931,12,2801,49436
1793.014,6,356,22520,208,69,8661,69,12460,148,69,12197,69,10060
279.149,17,4,352,2,60,279148,60,176,2,60,279148,60,176
331.131,6,44,2956,17,46,20695,46,1278,27,46,12730,46,1678
92.869,6,120,94002,79,1244,1190,1408,83747,41,811,2316,3847,10255
0.017,6,13,3980,7,88,2,88,388,6,1670,3,2920,3592
3.074,17,3,228,2,48,3048,48,152,1,48,0,48,76
82.936,1,8,448,8,28,11848,28,448,0,0,0,0,0
1769.218,6,104,9577,67,65,26806,65,5694,37,59,49141,59,3883
0.992,6,27,8120,14,266,63,540,1924,13,944,68,1591,6196
0.053,17,4,284,2,32,46,32,120,2,54,46,60,164
0.203,6,9,1002,5,213,50,213,417,4,421,53,421,585
4.227,6,39,7269,19,218,234,314,3383,20,440,208,1152,3886
0.805,6,27,5927,13,156,67,267,1462,14,650,55,1420,4465
153.25,6,31,8912,14,158,11788,267,1357,17,687,9571,2036,7555
74.063,6,24,2436,10,177,155,177,1248,14,110,5683,110,1188
1.891,6,41,15703,22,428,90,1360,3956,19,844,94,1360,11747
2.991,1,3,168,3,28,1495,28,168,0,0,0,0,0
4.113,17,4,268,4,39,1371,39,268,0,0,0,0,0
19.21,17,4,352,2,60,19208,60,176,2,60,19209,60,176
0.578,2,2,80,2,16,578,16,80,0,0,0,0,0
28.163,6,38,8695,15,401,37,889,1836,23,348,1274,4080,6859
7.912,6,18,6871,9,275,989,275,643,9,1171,665,1440,6228
1.125,6,24,8004,12,164,86,267,1288,12,1014,86,2816,6716
1631.148,1,8,448,8,28,233021,28,448,0,0,0,0,0
1790.912,6,355,22480,207,69,8622,69,12420,148,69,12180,69,10060
178.782,17,8,2688,8,308,25540,308,2688,0,0,0,0,0
6.679,17,4,240,2,32,6678,32,120,2,32,6678,32,120
2.008,17,6,483,3,40,996,41,206,3,64,995,80,277
8.622,6,1329,1187398,827,1386,10,1420,1163097,502,467,17,1883,24301
1130.017,17,219,16644,219,48,5183,48,16644,0,0,0,0,0
1796.755,1,342,28728,342,56,5269,56,28728,0,0,0,0,0
299.541,6,7,404,4,31,99847,31,222,3,31,149763,31,182
1796.318,17,447,39580,403,35,4468,288,25676,44,288,40951,288,13904
294.672,17,4,352,2,60,294671,60,176,2,60,294671,60,176
6.315,6,9,588,3,106,3152,106,234,6,90,1261,90,354
107.974,6,48,9050,23,372,708,802,2141,25,327,4492,1360,6909
61.338,6,45,24502,27,1026,2359,1448,16811,18,749,3593,1448,7691
69.086,6,25,7097,12,155,6280,267,1266,13,589,5756,2840,5831
0.237,6,12,3705,6,171,32,171,491,6,964,36,1448,3214
359.271,2,3,96,3,8,179635,8,96,0,0,0,0,0
1709.806,1,8,848,8,78,244258,78,848,0,0,0,0,0
5.609,17,5,320,5,36,1402,36,320,0,0,0,0,0
1770.207,6,223,19136,83,75,21585,339,8479,140,70,12735,1062,10657
15.008,17,12,5220,6,509,3000,1350,3224,6,304,2995,1350,1996
1799.085,2,28,896,28,8,66632,8,896,0,0,0,0,0
135.702,17,3,1008,3,308,67851,308,1008,0,0,0,0,0
255.506,6,12,5544,4,112,85163,112,280,8,987,36499,1420,5264
30.676,1,36,3744,0,0,0,0,0,36,76,876,76,3744
1295.553,17,242,18392,242,48,5375,48,18392,0,0,0,0,0
1774.253,6,180,15480,120,69,14909,69,8940,60,69,30071,69,6540
90.923,6,35,14972,17,894,66,1460,6089,18,741,5338,1460,8883
8.685,6,14,2245,8,211,1240,211,846,6,545,1725,904,1399
0.234,6,25,5989,12,164,21,453,1442,13,643,18,1542,4547
365.957,6,78,5052,44,78,8510,138,2864,34,69,11089,69,2188
1.452,6,47,18040,26,873,58,1360,12424,21,433,62,1360,5616
0.285,6,26,7256,13,155,23,267,1301,13,678,21,2045,5955
65.084,6,80,56396,51,1196,1301,1368,48127,29,964,2211,3887,8269
0.038,17,4,288,2,33,0,33,122,2,55,33,61,166
1771.626,6,99,9240,66,65,27255,65,5577,33,59,55360,59,3663
1733.089,1,8,848,8,78,247584,78,848,0,0,0,0,0
1786.667,6,104,8308,68,64,26666,64,4896,36,58,51045,58,3412
1798.045,17,448,39896,403,35,4472,288,25676,45,288,40019,288,14220
115.268,17,2,72,1,8,0,8,36,1,8,0,8,36
207.364,6,83,54311,49,1201,4320,1368,45806,34,841,1873,2519,8505
0.003,6,12,29340,1,0,0,0,40,11,2611,0,6840,29300
302.15,6,79,32277,44,954,7026,1360,24701,35,268,292,2667,7576
1797.977,17,366,60110,366,136,4925,391,60110,0,0,0,0,0
1770.546,6,99,9240,66,65,27239,65,5577,33,59,55326,59,3663
0.019,17,2,192,1,37,0,37,65,1,99,0,99,127
240.101,6,44,5526,23,247,10913,835,2950,21,164,12004,594,2576
238.662,2,2,64,2,8,238662,8,64,0,0,0,0,0
92.379,17,10,3384,10,310,10264,326,3384,0,0,0,0,0
1681.708,17,14,1036,7,30,280279,30,406,7,62,280279,62,630
16.284,17,12,1764,6,48,3255,48,456,6,190,3254,308,1308
81.226,17,4,352,2,60,81225,60,176,2,60,81224,60,176
0.705,17,4,768,2,39,693,39,134,2,289,443,289,634
1786.49,6,106,8456,68,65,26664,65,4930,38,59,48280,59,3526
0.105,17,4,624,2,64,71,64,184,2,192,69,192,440
30.251,6,1764,1555377,1136,1293,26,1368,1518057,628,776,47,2736,37320
120.319,2,3,96,3,8,60159,8,96,0,0,0,0,0
1793.535,6,128,8684,72,60,25261,208,5421,56,31,32602,31,3263
184.096,17,4,514,2,36,184091,36,128,2,165,184091,187,386
123.68,6,231,188402,148,1302,841,1368,173180,83,605,1505,1368,15222
0.066,6,2,92,1,0,0,0,40,1,0,0,0,52
1782.503,6,354,22440,207,69,8652,69,12420,147,69,12208,69,10020
0.485,17,2,170,1,37,0,37,65,1,77,0,77,105
77.864,6,32,7653,12,155,7078,267,1266,20,371,4089,1460,6387
3.636,6,29,8288,14,164,266,267,1400,15,869,247,1440,6888
0.019,6,10,1371,5,126,4,126,394,5,356,4,380,977
1.155,6,24,8004,12,164,89,267,1288,12,1014,89,2804,6716
0.226,6,9,1148,5,145,56,145,349,4,635,53,635,799
0.271,6,24,7176,12,155,24,267,1261,12,775,23,3445,5915
1770.356,6,108,9927,69,65,26034,65,5822,39,59,46585,59,4105
5.03,17,4,558,2,36,5006,36,128,2,187,5020,187,430
112.52,6,9,528,2,112,112510,112,200,7,0,18751,0,328
1788.048,6,127,7765,69,27,26294,27,4146,58,27,31368,27,3619
280.347,6,30,7432,13,158,23362,267,1317,17,543,17516,1400,6115
280.557,6,30,7432,13,158,23379,267,1317,17,543,17531,1400,6115
1.72,6,14,2351,8,188,245,245,700,6,703,290,1152,1651
77.402,6,15,3935,4,407,2518,722,1030,11,1164,7722,1448,2905
14.856,6,18,1562,10,226,1650,226,984,8,110,2096,110,578
1729.661,1,8,448,8,28,247094,28,448,0,0,0,0,0
1786.391,17,87,3648,86,14,21016,14,3612,1,8,0,8,36
175.261,17,2,72,1,8,0,8,36,1,8,0,8,36
0.023,6,20,9141,10,96,2,96,624,10,1141,2,1448,8517
14.408,6,22,5193,13,250,1200,383,2781,9,512,383,1179,2412
0.288,17,2,152,1,48,0,48,76,1,48,0,48,76
7.342,6,1502,1449655,998,1379,7,1408,1418783,504,931,14,2801,30872
0.14,6,5,296,4,0,46,0,232,1,0,0,0,64
1.26,6,33,6547,16,164,84,267,1962,17,650,69,1452,4585
0.024,17,3,676,2,60,0,60,176,1,472,0,472,500
1776.628,17,73,3060,72,14,25022,14,3024,1,8,0,8,36
1798.378,6,363,23007,211,69,8563,69,12787,152,69,11909,69,10220
1798.432,6,364,24523,212,88,8523,469,14027,152,69,11907,69,10496
300.84,6,47,10818,24,646,13080,1360,4941,23,309,1027,2720,5877
3.237,17,5,1074,3,40,1155,40,204,2,407,3226,407,870
13.537,6,9,527,5,43,3384,43,311,4,0,4510,0,216
26.285,6,47,12986,22,199,1251,721,2479,25,633,1075,1440,10507
384.965,6,20,1358,15,180,27497,180,980,5,110,15169,110,378
50.722,6,36,8161,18,311,511,619,1687,18,478,2975,2128,6474
0.533,17,22,12061,10,522,55,1350,5502,12,518,45,1350,6559
3.747,17,10,1319,5,31,907,31,295,5,176,932,196,1024
1799.95,1,56,4704,56,56,32726,56,4704,0,0,0,0,0
0.12,17,2,312,1,64,0,64,92,1,192,0,192,220
1.367,6,47,18977,26,945,54,1460,13361,21,433,58,1460,5616
1.908,17,3,264,3,60,954,60,264,0,0,0,0,0
36.949,1,3,399,3,105,18474,119,399,0,0,0,0,0
1786.517,6,364,25392,212,100,8466,469,14896,152,69,11829,69,10496
1785.891,6,109,8710,69,66,26263,66,5070,40,60,45789,60,3640
101.424,17,4,240,2,32,101423,32,120,2,32,101423,32,120
20.175,6,23,5775,13,107,1681,159,1138,10,684,2239,1418,4637
47.818,1,2,112,2,28,47818,28,112,0,0,0,0,0
658.112,2,5,160,5,8,164528,8,160,0,0,0,0,0
203.123,17,4,352,2,60,203122,60,176,2,60,203122,60,176
0.208,6,40,16447,23,964,9,1420,11546,17,467,11,1883,4901
1.71,17,2,384,1,39,0,39,67,1,289,0,289,317
162.429,6,22,8452,11,314,78,634,1415,11,940,16229,1460,7037
19.0,17,4,352,2,48,18954,48,152,2,72,18960,72,200
15.195,17,12,6055,6,584,3031,1350,3676,6,368,3031,1350,2379
21.418,6,27,4813,14,196,1647,517,1962,13,428,1783,499,2851
0.56,6,23,7437,14,274,43,668,2109,9,1210,65,1946,5328
0.268,17,3,451,2,39,100,39,134,1,289,0,289,317
1.333,6,24,8004,12,164,102,267,1288,12,1216,103,3859,6716
126.246,17,4,288,2,36,126215,36,128,2,52,126214,52,160
1754.534,6,100,7866,66,45,26992,205,4902,34,35,53156,98,2964
130.682,6,34,15784,17,512,315,1360,3801,17,940,8158,1360,11983
1773.663,6,181,15589,120,69,14904,69,8940,61,69,29554,69,6649
30.72,6,9,588,4,106,10240,106,274,5,90,7642,90,314
76.289,17,4,352,2,60,76288,60,176,2,60,76288,60,176
300.306,6,46,26914,20,405,15805,1066,2669,26,1089,4043,2899,24245
127.8,6,49,22046,27,603,4915,1402,5031,22,1133,6084,2838,17015
0.13,6,100,117223,43,281,3,868,3990,57,2120,2,5632,113233
1772.625,6,180,15480,120,69,14896,69,8940,60,69,30036,69,6540
1773.307,6,180,15480,120,69,14901,69,8940,60,69,30050,69,6540
1.58,6,48,17235,28,801,58,1360,11614,20,437,72,2715,5621
962.635,2,8,256,8,8,137519,8,256,0,0,0,0,0
0.15,6,43,19980,25,1078,6,1420,15039,18,467,8,1883,4941
173.345,6,26,9556,13,709,73,1360,3403,13,803,14430,3113,6153
1781.76,6,365,23087,211,69,8484,69,12787,154,69,11645,69,10300
0.03,6,10,1903,5,657,7,657,925,5,710,7,710,978
0.333,6,7,364,3,0,6,0,156,4,0,111,0,208
418.225,17,14,5451,14,361,32171,371,5451,0,0,0,0,0
1793.192,17,180,11520,180,36,10017,36,11520,0,0,0,0,0
1792.019,6,356,22520,208,69,8657,69,12460,148,69,12190,69,10060
39.858,17,44,6468,22,48,1897,48,1672,22,190,1897,308,4796
372.109,6,18,1242,14,180,28623,180,916,4,110,20070,110,326
15.762,6,23,8325,13,275,1313,275,1078,10,1367,1194,1420,7247
0.012,17,2,244,1,43,0,43,71,1,145,0,145,173
285.595,6,27,2905,14,324,21968,585,1385,13,282,23799,580,1520
100.447,17,4,352,2,60,100446,60,176,2,60,100446,60,176
1795.862,6,358,22669,209,69,8633,69,12500,149,69,12132,69,10169
60.719,1,4,224,4,28,20239,28,224,0,0,0,0,0
1795.719,17,448,39896,403,35,4466,288,25676,45,288,40024,288,14220
1785.859,6,390,27522,221,101,8117,469,16346,169,69,10630,69,11176
1793.024,17,69,23008,69,305,26368,320,23008,0,0,0,0,0
2.022,17,4,644,2,33,1930,33,122,2,233,0,233,522
0.48,17,2,384,1,39,0,39,67,1,289,0,289,317
280.753,6,31,7813,13,158,23396,267,1317,18,524,16492,1400,6496
40.07,6,26,4100,15,179,2862,517,1876,11,411,4006,499,2224
1.385,6,50,21100,28,952,51,1360,15444,22,433,57,1360,5656
0.425,6,12,1653,6,288,81,288,548,6,426,45,434,1105
373.616,6,25,1651,17,177,23351,177,1117,8,110,9258,110,534
17.561,17,8,608,8,48,2508,48,608,0,0,0,0,0
374.083,6,23,1523,15,177,26720,177,989,8,110,9264,110,534
156.81,17,2,150,2,47,156810,47,150,0,0,0,0,0
1768.821,6,178,11596,90,57,19874,208,7084,88,31,20326,31,4512
1772.411,6,180,15480,120,69,14894,69,8940,60,69,30039,69,6540
1.323,6,37,8212,19,320,73,1162,2716,18,476,67,2715,5496
0.51,17,2,904,2,424,510,548,904,0,0,0,0,0
0.642,6,110,80080,68,1285,9,1432,72238,42,615,15,1871,7842
1780.422,17,135,8640,135,36,13286,36,8640,0,0,0,0,0
630.39,2,6,192,6,8,126078,8,192,0,0,0,0,0
11.325,6,19,4402,10,275,1258,275,958,9,768,734,1440,3444
4.857,6,34,8231,17,298,303,578,1606,17,494,52,1460,6625
240.222,6,56,17743,30,774,8283,1402,14750,26,204,9608,580,2993
41.289,6,26,7143,12,156,3753,267,1272,14,530,3172,2006,5871
1764.52,17,338,54308,338,132,5235,391,54308,0,0,0,0,0
2.818,6,129,89942,61,131,46,232,2969,68,1358,41,1430,86973
0.172,17,2,152,1,48,0,48,76,1,48,0,48,76
0.306,6,2,123,1,0,0,0,40,1,31,0,31,83
5.032,17,3,208,2,36,5009,36,128,1,52,0,52,80
0.063,17,2,279,1,36,0,36,64,1,187,0,187,215
0.669,17,18,5891,8,361,95,1350,3117,10,249,70,1350,2774
475.583,6,33,7568,13,158,39631,267,1317,20,603,25026,1400,6251
76.868,6,75,50202,46,1198,1708,1408,41962,29,747,2201,1408,8240
744.418,6,76,10630,40,83,19083,722,3623,36,197,21264,2026,7007
0.075,6,9,1002,5,213,18,213,417,4,421,18,421,585
0.19,17,2,290,1,40,0,40,68,1,194,0,194,222
310.032,6,27,5493,14,298,23848,1382,2353,13,373,25832,1460,3140
1.569,6,392,345011,232,216,6,256,14949,160,2049,9,12672,330062
1792.531,6,164,12328,84,85,21596,208,8074,80,31,22613,31,4254
161.695,6,76,52380,48,1190,3440,1408,44184,28,841,2282,2439,8196
738.663,17,141,10716,141,48,5276,48,10716,0,0,0,0,0
24.545,6,647,595870,413,1364,59,1368,582466,234,0,104,0,13404
12.95,6,16,2509,9,322,1618,581,1133,7,334,2155,580,1376
242.82,1,6,336,6,28,48564,28,336,0,0,0,0,0
1700.4,17,12,498,11,14,170040,14,462,1,8,0,8,36
4.005,17,5,514,4,32,1330,32,240,1,246,0,246,274
376.65,17,6,528,3,60,188324,60,264,3,60,188324,60,264
99.889,6,855,440600,490,836,204,1152,421193,365,436,273,1179,19407
6.136,6,232,178772,126,229,49,256,9176,106,1577,57,5472,169596
62.812,17,4,352,2,48,62803,48,152,2,72,62801,72,200
0.095,6,2,111,1,0,0,0,40,1,31,0,31,71
280.451,6,30,7432,14,158,21573,267,1357,16,678,18693,3456,6075
0.901,6,23,7437,14,274,69,668,2109,9,1210,106,1946,5328
6.26,6,45,8409,23,227,284,314,4102,22,427,285,1152,4307
14.24,6,14,1025,7,222,2372,222,506,7,231,2371,231,519
4.529,6,39,7285,20,218,238,314,3423,19,516,237,1179,3862
0.18,17,2,154,1,33,0,33,61,1,65,0,65,93
0.0,17,1,674,1,646,0,646,674,0,0,0,0,0
96.604,6,26,5666,10,107,10733,159,970,16,967,6439,1669,4696
0.066,17,2,152,1,48,0,48,76,1,48,0,48,76
12.892,6,24,6993,13,275,1074,275,1078,11,910,789,1440,5915
1039.685,6,115,11582,74,91,14242,485,6345,41,87,25980,453,5237
1571.88,6,56,5531,37,110,43663,1440,4016,19,31,87299,31,1515
1799.099,17,142,11360,71,48,25701,48,5396,71,56,25701,56,5964
1796.693,17,446,38980,404,35,4458,288,25708,42,288,42946,288,13272
1799.686,6,373,26028,217,98,8331,469,15303,156,69,11609,69,10725
1.604,6,46,18982,27,881,61,1360,13446,19,476,77,2715,5536
1.513,6,35,11587,18,447,89,1332,3470,17,928,83,2720,8117
17.636,17,16,9199,9,734,2200,1350,6860,7,306,2934,1350,2339
3.95,17,2,134,2,39,3950,39,134,0,0,0,0,0
1.416,6,50,19717,27,922,54,1460,14021,23,433,55,1460,5696
1799.775,17,449,39928,404,35,4465,288,25708,45,288,40020,288,14220
1779.624,6,353,22400,206,69,8681,69,12380,147,69,12189,69,10020
10.41,6,80,24485,39,552,273,1152,18704,41,459,253,1179,5781
1768.959,1,58,4872,58,56,31034,56,4872,0,0,0,0,0
0.036,17,2,426,1,46,0,46,74,1,324,0,324,352
8.399,6,1808,1718290,1175,1386,6,1408,1680710,633,931,12,2801,37580
13.625,6,2109,1973619,1313,1423,10,1448,1924371,796,931,16,2896,49248
122.678,6,26,6335,9,181,302,293,1269,17,398,7652,1152,5066
41.245,6,39,8702,16,371,48,800,1811,23,331,1867,2720,6891
0.011,17,2,307,1,33,0,33,61,1,218,0,218,246
2.567,6,59,14900,30,551,88,1429,5124,29,409,88,1460,9776
0.161,17,2,214,1,39,0,39,67,1,119,0,119,147
1787.572,6,102,8228,68,64,26680,64,4896,34,58,54166,58,3332
61.329,6,38,17487,23,804,2787,1408,9301,15,822,4362,2816,8186
1791.234,6,186,24254,105,304,17223,304,16804,81,83,22390,83,7450
125.976,6,38,19894,22,1002,2698,1360,11956,16,1040,8386,4445,7938
1.731,6,23,5714,13,158,128,370,1315,10,998,176,1691,4399
0.776,6,5,1109,5,169,194,247,1109,0,0,0,0,0
2.27,6,22,3473,12,162,206,293,1458,10,537,223,1179,2015
0.306,6,26,9039,13,266,25,705,1750,13,1100,24,2804,7289
1758.98,17,43,14440,43,307,41880,308,14440,0,0,0,0,0
191.78,17,4,352,2,60,191779,60,176,2,60,191779,60,176
5.348,6,12,3432,3,299,476,299,463,9,356,666,492,2969
4.338,6,37,7189,19,218,241,314,3383,18,513,239,1179,3806
0.412,6,52,21921,28,1036,15,1380,16719,24,421,16,1923,5202
0.2,17,2,572,1,39,0,39,67,1,477,0,477,505
0.015,17,4,284,2,32,9,32,120,2,54,9,60,164
3.64,17,10,1415,5,31,907,31,295,5,196,907,196,1120
60.482,17,4,352,2,60,60481,60,176,2,60,60481,60,176
20.199,6,24,5827,14,107,1553,159,1190,10,684,2243,1418,4637
7.83,17,12,1764,6,48,1563,48,456,6,190,1563,308,1308
210.225,17,4,288,2,36,210212,36,128,2,52,210211,52,160
2.36,6,14,2351,8,188,337,245,700,6,703,419,1152,1651
365.329,6,55,14524,33,489,11416,1360,8749,22,348,473,2667,5775
0.021,17,4,344,2,47,19,47,150,2,69,20,75,194
66.343,6,25,7097,12,155,6031,267,1266,13,589,5527,3426,5831
22.533,6,23,4063,15,211,1609,211,1469,8,545,3218,904,2594
1771.676,6,99,9306,66,66,27256,66,5610,33,60,55361,60,3696
111.922,6,129,98119,81,1261,1399,1368,87497,48,738,2376,2519,10622
39.791,17,22,1672,22,48,1894,48,1672,0,0,0,0,0
40.046,6,27,7177,12,155,3640,267,1266,15,482,2859,1420,5911
1.042,17,17,9431,9,741,130,1350,6926,8,285,120,1350,2505
1772.512,6,203,22290,130,75,13740,267,10057,73,134,24615,1997,12233
10.598,6,83,24541,43,550,252,1152,18800,40,459,265,1179,5741
42.634,6,27,7177,13,155,3552,267,1306,14,530,3278,4260,5871
1796.848,1,264,14784,264,28,6832,28,14784,0,0,0,0,0
367.283,6,23,1535,16,177,24485,177,1053,7,110,10360,110,482
100.065,17,22,1936,11,48,10005,48,836,11,72,10005,72,1100
3.975,6,13,3463,7,188,662,245,660,6,1279,744,1407,2803
1797.025,17,448,39612,404,35,4459,288,25708,44,288,40954,288,13904
241.469,6,47,6225,22,192,11497,585,3087,25,165,10059,580,3138
1790.43,1,280,29680,280,78,6417,78,29680,0,0,0,0,0
1.104,6,25,8056,12,164,85,267,1288,13,869,78,1402,6768
1746.789,1,92,7728,92,56,19195,56,7728,0,0,0,0,0
27.376,17,4,240,2,32,27375,32,120,2,32,27375,32,120
147.53,6,30,7106,12,208,6969,516,1736,18,387,8665,1452,5370
0.52,17,17,11289,9,735,65,1350,6867,8,524,60,1350,4422
9.198,6,81,24994,41,568,229,1152,19253,40,459,229,1179,5741
15.256,17,16,5395,7,370,2537,1350,2792,9,261,1903,1350,2603
11.464,6,1811,1584089,1101,1385,10,1420,1551468,710,467,16,1883,32621
1798.767,6,157,14618,91,60,19986,722,7390,66,77,27668,1440,7228
1.095,6,26,9564,13,164,77,267,1388,13,1070,77,2816,8176
2.224,6,27,8799,16,277,148,565,1477,11,859,202,1380,7322
0.228,6,22,5960,12,181,20,537,1526,10,558,24,1408,4434
0.037,17,2,136,1,32,0,32,60,1,48,0,48,76
300.632,6,36,8584,20,336,15822,999,2190,16,522,562,2720,6394
100.809,6,12,8789,2,133,4750,133,217,10,1360,11199,1360,8572
0.139,6,46,21869,27,1052,5,1420,16888,19,467,7,1883,4981
0.247,6,19,4286,11,165,24,456,1394,8,493,28,888,2892
1776.909,17,73,3060,72,14,25026,14,3024,1,8,0,8,36
